token;value;pos
доллар;usd;noan
доллара;usd;noan
долларам;usd;noan
долларами;usd;noan
долларах;usd;noan
долларе;usd;noan
долларов;usd;noan
долларом;usd;noan
доллару;usd;noan
доллары;usd;noan
евро;eur;noan
рубле;rub;noan
рублей;rub;noan
рублём;rub;noan
рубли;rub;noan
рубль;rub;noan
рублю;rub;noan
рубля;rub;noan
рублям;rub;noan
рублями;rub;noan
рублях;rub;noan
рублёвая;rub;adjective
рублёвого;rub;adjective
рублёвое;rub;adjective
рублёвой;rub;adjective
рублёвой ;rub;adjective
рублёвом;rub;adjective
рублёвому;rub;adjective
рублёвую;rub;adjective
рублёвые;rub;adjective
рублёвый;rub;adjective
рублёвым;rub;adjective
рублёвыми;rub;adjective
рублёвых;rub;adjective
рублёвою;rub;adjective
долларовая;usd;adjective
долларового;usd;adjective
долларовое;usd;adjective
долларовой;usd;adjective
долларовом;usd;adjective
долларовому;usd;adjective
долларовую;usd;adjective
долларовые;usd;adjective
долларовый;usd;adjective
долларовым;usd;adjective
долларовыми;usd;adjective
долларовых;usd;adjective
 долларовою;usd;adjective
евровый;eur;adjective
евровую;eur;adjective
евровой;eur;adjective
еврового;eur;adjective
евровомым;eur;adjective
