token;value;tense;mood
активировал;активировать;past;
активировала;активировать;past;
активировали;активировать;past;
активировало;активировать;past;
активирован;активировать;past;perfect
активированы;активировать;past;perfect
активировать;активировать;present;
активируем;активировать;present;
активирует;активировать;present;
активируете;активировать;present;
активируешь;активировать;present;
активирую;активировать;present;
активируют;активировать;present;
арендовал;арендавать;past;
арендовала;арендавать;present;
арендовали;арендавать;present;
арендовало;арендавать;past;
арендовать;арендавать;present;
арендуем;арендавать;present;
арендует;арендавать;present;
арендуете;арендавать;present;
арендуешь;арендавать;present;
арендую;арендавать;present;
арендуют;арендавать;present;
берём;брать;present;
берёт;брать;present;
берёте;брать;present;
берёшь;брать;present;
беру;брать;present;
берут;брать;present;
блокирован;close;past;perfect
брал;брать;past;
брала;брать;past;
брали;брать;past;
брало;брать;past;
брать;брать;present;
взял;брать;past;
взяла;брать;past;
взяли;брать;past;
взяло;брать;past;
видел;видеть;past;
видела;видеть;past;
видели;видеть;past;
видело;видеть;past;
видеть;видеть;present;
видим;видеть;present;
видит;видеть;present;
видите;видеть;present;
видишь;видеть;present;
видят;видеть;present;
вижу;видеть;present;
включаем;enable;present;
включает;enable;present;
включаете;enable;present;
включаешь;enable;present;
включал;enable;past;
включала;enable;past;
включали;enable;past;
включало;enable;past;
включат;enable;present;
включать;enable;present;
включаю;enable;present;
включают;enable;present;
включен;enable;past;
включены;enable;past;
включил;enable;past;
включила;enable;past;
включили;enable;past;
включило;enable;past;
включим;enable;present;
включит;enable;present;
включите;enable;present;
включить;enable;present;
включишь;enable;present;
включу;enable;present;
внести;платить;present;
возобновите;подключить;future;
возьмём;брать;future;
возьмёт;брать;future;
возьмёте;брать;future;
возьмёшь;брать;future;
возьму;брать;future;
возьмут;брать;future;
войдём;входить;future;
войдёт;входить;future;
войдёте;входить;future;
войдёшь;входить;future;
войду;входить;future;
войдут;входить;future;
войти;входить;present;
восстанавливаем;восстанавливать;present;
восстанавливает;восстанавливать;present;
восстанавливаете;восстанавливать;present;
восстанавливаешь;восстанавливать;present;
восстанавливал;восстанавливать;past;
восстанавливала;восстанавливать;past;
восстанавливали;восстанавливать;present;
восстанавливало;восстанавливать;past;
восстанавливать;восстанавливать;present;
восстанавливаю;восстанавливать;present;
восстанавливают;восстанавливать;present;
восстановил;восстанавливать;past;
восстановила;восстанавливать;past;
восстановили;восстанавливать;past;
восстановило;восстанавливать;past;
восстановим;восстанавливать;future;
восстановит;восстанавливать;future;
восстановите;восстанавливать;future;
восстановить;восстанавливать;present;
восстановишь;восстанавливать;future;
восстановлю;восстанавливать;future;
восстановят;восстанавливать;future;
вошёл;входить;past;
вошла;входить;past;
